"","ProjectName","round_id","ModelScore","DonorCount","ScorePerDonor"
"1","SeiGPT",11,107.444444444444,151,0.711552612214864
"2","Digitstak X SEI GAMING",12,97.0555555555556,148,0.655780780780781
"3","jiamigou",12,168.277777777778,259,0.64972114972115
"4","TheCryptoBlade",12,70.6111111111111,113,0.624877089478859
"5","Nine 23 SEI Gaming Creator Project",12,20.4444444444444,34,0.601307189542484
"6","Mystic",12,66.5555555555556,112,0.594246031746032
"7","Zack",12,67.4444444444444,114,0.591617933723197
"8","SeiTalk",11,144.388888888889,248,0.582213261648746
"9","Marcosei",12,117.833333333333,205,0.57479674796748
"10","Mizzy",11,54.6111111111111,100,0.546111111111111
"11","Seicademy",11,27.8333333333333,53,0.525157232704403
"12","Tokenomics Lab",11,35.2777777777778,68,0.518790849673203
"13","Hanna",12,73.7222222222222,147,0.50151171579743
"14","Sei Awesome",11,57.5,115,0.5
"15","The Nest x Sei Gaming",12,54.7777777777778,111,0.493493493493493
"16","SEIS AI",11,41.0555555555556,85,0.483006535947712
"17","CLOAK ",11,76,160,0.475
"18","Coha05",12,58.3888888888889,125,0.467111111111111
"19","Cryptocheongchun",12,6.83333333333333,15,0.455555555555556
"20","DAORIC",12,9.77777777777778,22,0.444444444444444
"21","IRIT_on_SEI",12,33.8333333333333,82,0.41260162601626
"22","DojiTV 📺",12,6.94444444444444,17,0.408496732026144
"23","CryptoJack444",12,16.7222222222222,41,0.407859078590786
"24","fawz",12,4.83333333333333,12,0.402777777777778
"25","Illuminating stars",12,42.5,107,0.397196261682243
"26","StudyBot",11,13.2222222222222,34,0.388888888888889
"27","Seiccess",11,21.9444444444444,57,0.384990253411306
"28","Sei Entertainment Fund",12,4.61111111111111,12,0.384259259259259
"29","Connieee🐝",12,13.7777777777778,36,0.382716049382716
"30","4JusticeWeb3 by JUSTICE",12,9.11111111111111,24,0.37962962962963
"31","NFTPERKS",12,12.8888888888889,34,0.379084967320261
"32","Ririn",12,30.5555555555556,81,0.377229080932785
"33","SeiLib",11,7.83333333333333,21,0.373015873015873
"34","A Technical Zero To Hero Course on SEI",11,17.1111111111111,46,0.371980676328502
"35","Sei Wars",12,46.1111111111111,124,0.371863799283154
"36","Zuri",12,14.4444444444444,39,0.37037037037037
"37","SEI SDK",11,27.3888888888889,74,0.37012012012012
"38","SeiScope",11,8.44444444444444,23,0.367149758454106
"39","Seitrace",11,74.8888888888889,204,0.367102396514161
"40","SEI ANNE PLAY",12,24.1111111111111,66,0.365319865319865
"41","Seiducation",11,21.8333333333333,60,0.363888888888889
"42","Mega Ventures",12,22.1111111111111,61,0.36247723132969
"43","The SEIDevEducation Series",11,19.8888888888889,55,0.361616161616162
"44","Alisa",12,23.8888888888889,67,0.356550580431177
"45","两仪式",12,2.83333333333333,8,0.354166666666667
"46","ONCHAIN KINGPIN",11,10.6111111111111,30,0.353703703703704
"47","Sei Unity SDK",11,7.33333333333333,21,0.349206349206349
"48","Kismet",11,9.05555555555556,26,0.348290598290598
"49","Jaxx 神 (DKS)",12,6.61111111111111,19,0.347953216374269
"50","babulenok54",12,13.5555555555556,39,0.347578347578348
"51","Eric",12,6.94444444444444,20,0.347222222222222
"52","Dany",12,10.2777777777778,30,0.342592592592593
"53","Xen's Gaming Playbook",12,4.11111111111111,12,0.342592592592593
"54","ladimeji3",12,5.44444444444444,16,0.340277777777778
"55","Simply Better",11,21.6666666666667,64,0.338541666666667
"56","elabs",12,5.72222222222222,17,0.336601307189543
"57","Zues ",12,41.9444444444444,125,0.335555555555556
"58","WEB3 Gaming Content Series ",12,29.4444444444444,88,0.33459595959596
"59","1Minute Web3",12,4,12,0.333333333333333
"60","Odin",12,28.2222222222222,85,0.33202614379085
"61","Feezy",12,22.3888888888889,68,0.329248366013072
"62","cris-the-dev",11,84.4444444444444,258,0.327304048234281
"63","Code Pillar",11,20.5555555555556,63,0.326278659611993
"64","Omni Potence",11,40.1111111111111,123,0.326106594399277
"65","Onboarding Latam Gamers",12,9.72222222222222,30,0.324074074074074
"66","JYP",12,7.77777777777778,24,0.324074074074074
"67","LAKZONE GAMING GUILD",12,66.7222222222222,207,0.322329575952764
"68","SeiEducation Creator Series",12,6.11111111111111,19,0.321637426900585
"69","Tempest Gaming Guild",12,60.2222222222222,188,0.320330969267139
"70","ReikoMigi Arena",12,20.6666666666667,65,0.317948717948718
"71","Ryuzaki",11,11.6666666666667,37,0.315315315315315
"72","FlintCrypto",12,7.77777777777778,25,0.311111111111111
"73","AllRichard",12,8.88888888888889,29,0.306513409961686
"74","InterBug AI",11,7.33333333333333,24,0.305555555555556
"75","Web3Maxx Content",12,10.6666666666667,35,0.304761904761905
"76","thecocox",12,5.16666666666667,17,0.303921568627451
"77","Craig",12,6.66666666666667,22,0.303030303030303
"78","Fireant Crypto",12,2.72222222222222,9,0.302469135802469
"79","Kodak",12,6.94444444444444,23,0.301932367149758
"80","Kingjackson Gaming Hub",12,4.22222222222222,14,0.301587301587302
"81","Anas",12,20.1111111111111,67,0.30016583747927
"82","Chain Guide",12,7.5,25,0.3
"83","Nathoi 🔴⚫️🌊",12,61.1666666666667,204,0.29983660130719
