"","DonorAddress","model_score","model_score_count"
"1","0x0419f6eae743fc32471954116a9735852c862f69",0.611111111111111,4
"2","0x6e882e6ccabbfe1863a40b594d31f37dfbcfcec1",0.555555555555556,3
"3","0x857ba7fc07f2043dc69f7b967cdc91278263d60a",0.555555555555556,3
"4","0x585a53b2ca3d56f39673ed349163735c04762fab",0.555555555555556,3
"5","0x5fea753f632b73ee7db24feb3cecf40d042311fd",0.611111111111111,3
"6","0x80bcbd1e81bb977f12e32fa04e9cd56970b5306a",0.555555555555556,3
"7","0x9fa57f25ad045ff6ca0d0d935171923769e331d1",0.722222222222222,4
"8","0x4df208b471fbca43a26eff0e95c05d92c5362d1c",0.555555555555556,3
"9","0xb90088dc39838d6b52f6becf03f7f2736e968edb",0.555555555555556,3
"10","0xbed58c72f7a13e82238fd8a038e33f702a49add4",0.555555555555556,3
"11","0xc0f05a9a0bcd71c7e07094954bd921e0fcf34307",0.666666666666667,4
"12","0x87cb7c339cf6b7bbc5f2365bb0237fd435932d7f",0.611111111111111,3
"13","0xc1df6b88e4d058cfa342855ad064f805cc411e96",0.555555555555556,3
"14","0xd27abd7ccf9e27a8cfbb179fab8c7d7785d6a9d3",0.611111111111111,3
"15","0x159ad1fbb58f8f8d351012d3e6b03fa10d18e55e",0.611111111111111,4
"16","0x5e51bd8a44dea354ddf31b211960df002e09cd83",0.555555555555556,3
"17","0x797dd528177eba6c9d5d8325ef54bf0e32db91bd",0.611111111111111,4
"18","0x94a403d5e8a7727675d340535e6f3081511fc153",0.555555555555556,3
"19","0x2691c227a20a88763903221a935a594d867c7f12",0.555555555555556,3
"20","0x793be83410553b61c6de040332341ae35606fb0c",0.555555555555556,3
"21","0x986dd4fc12c605aa47d0968605dbdd27893bca30",0.555555555555556,3
"22","0xbeb8e52eea3406c9fcdbc0fa94b5d181e6b863a0",0.611111111111111,4
"23","0xe7afca2aec7f7c1a72b3ce8761bd851687a4691e",0.555555555555556,3
"24","0x50515d00132744e2711981f05647a79225af2d25",0.555555555555556,3
"25","0x6951182e88f51d8c9326abeca70e77e7e4c70bda",0.611111111111111,4
"26","0x14a8024d91b91a7c68cb7e2f2408c5e437856127",0.611111111111111,4
"27","0x4891a1b718b4d54b32049644db2cf608c9b91e85",0.611111111111111,4
"29","0x57726287805bcf268c003a7829f863130acef5b4",0.555555555555556,3
"30","0x5ffe0b319ddd42f0fc35a36261ff77f01066fdd5",0.555555555555556,3
"31","0x60e79b278fb01e594e421bef46e2b52d7a4f306c",0.611111111111111,3
"32","0x72d05e33132953dee1870ad407f2189e22ed351e",0.611111111111111,3
"33","0x93e844b8543dbceee587e15b8215358a8cee4f0c",0.611111111111111,4
"34","0xa28f17e4090ddf48114754537bd7a8c9d1d74fbd",0.611111111111111,4
"35","0xa46161a3a1fa37e592a3f0f127eeff39024a0e32",0.611111111111111,4
"36","0x112a03fcf186f48bffbe9d965b10f174f6254f05",0.611111111111111,3
"37","0x34393bc8b089caee0e2ac7b0f1a03dff23ceb475",0.833333333333333,4
"38","0x360767a3eee1d61ff652a6909db7a79fe42714ab",0.611111111111111,3
"39","0x5df7aa27e4ff6443663017e1e45fc422031c3000",0.833333333333333,4
"40","0x5fe272389624f73c97b2e6f497da082f36da32a5",0.611111111111111,3
"41","0x7167bb8b055d097319c3c792f85aaff422e742e8",0.611111111111111,3
"42","0x874d10dbeb78a58132dd6883492b1cc5bef30889",0.555555555555556,3
"43","0x91030b9ac33c419798787435d5cbb5c614403fea",0.611111111111111,3
"44","0xa27045019735fd74eb3117c2f6b245e1f0173aba",0.722222222222222,4
"45","0xaa7055f985aa47a00df9b6ab349b342966cd9720",0.611111111111111,3
"46","0xc3ce6af6ab868c8daa1797456f6dad8ddb0bfd4a",0.666666666666667,3
"47","0xc7d623c853ffe2686564b094fedf49b81c35fa09",0.611111111111111,3
"48","0xcf027140ff286dd0587bb27f799624b0b0d3eb52",0.611111111111111,3
"49","0xdf44369198cac57e20081c1b573d35bd6577b8db",0.611111111111111,3
"50","0xef07ce1f4bd167f81886ba5eec32b9603d1f5995",0.611111111111111,3
"51","0xfdb19d65dce32d149763a21c4022259c618b24d7",0.833333333333333,4
"52","0x38de164d431a1afa45fb6af82cc6528678433b8e",0.611111111111111,4
"53","0x40c620cd6b3fa180d57fc853b3766a4e9a4bd287",0.555555555555556,4
"54","0x458b542ececa465477959ab573256a29d5bd09ef",0.555555555555556,3
"55","0x544e574140ec194484ffc97cdbd34846f632fc64",0.611111111111111,3
"56","0x6fe5aa0ac9c52b8cf30978779adc5a843ad23d77",0.611111111111111,4
"57","0x711ad4f074e482aeca1f92ca243ae3add3a1ee92",0.611111111111111,4
"58","0x78ab7d8ef167518b1157a786a23a36d32fc40705",0.611111111111111,4
"59","0xa3b0323a8d83e537db6d6e7c38ac4635aef55bf9",0.555555555555556,3
"60","0xbbc9070fde03fd064d7b58d5746dd8646c0ddc5b",0.611111111111111,4
"61","0xcd6d62769cbc06dea2ea0a00d3f398de49ec4ccd",0.555555555555556,3
"62","0xdb6f6db1893a5ea421a9ae7f87f014daa89767b4",0.555555555555556,3
"63","0x08cae1e2afee64548122d4463482413b19d34492",0.555555555555556,3
"64","0x0b4a58ad033abc28100ac396e1c2c4ec55e23d3f",0.611111111111111,4
"65","0x1b2a918e8c22f2e0bf68b1d81c3e0b154860cec7",0.555555555555556,4
"66","0x29b3ec18a124b033ca4c5670f2346c2804fec3df",0.611111111111111,4
"68","0x6590a386205c072302e3944e8a54582e177bca08",0.611111111111111,4
"69","0x65b5ff4992c9e3e71bb910319275d5b8788a4e83",0.666666666666667,4
"70","0x6cf1ae0437774e91b7b714415e934e76b97b0409",0.611111111111111,4
"71","0x7ca8522e4836d29011228c157be07dd2cb31fe18",0.833333333333333,5
"72","0x82c57f5cdaddd0fc66cf4fe305531fc980db3ccc",0.611111111111111,4
"73","0x8846692890cc5fa1770d680b929f1995e41caea6",0.611111111111111,3
